a few;کمی
a great deal of;یک دنیا
a handful;یک مشت
a la garconne;آلاگارسن
a little;اندکیی ، کمی ، اندکی ، کمکی ، اندکی
a little while later;اندکی بعد
a lot;بمقدار زیاد ، کلی
a lot of;مقدار زیادی ، بسیاری
a section of;قشری از
a while;اندکی
a while ago;چندی قبل
a while later;مدتی بعد
a.d.;میلادی
aba;عبا
abacus;چرکه ، چتکه
abadan;آبادان
aban;آبان
abandon;رهاساختن ، دست کشیدن ، دل کندن ، ترککردن ، رها کردن ، صرفنظر کردن ، واکهداردن
abandoned;متروکه ، متروک
abandoned place;متروکه
abandonment;ترک ، رهاسازی ، صرف نظر ، دلکندن ، متارکه
abasalt;اباسلط
abase;تحقیر نمودن ، کمارزش کردن
abatement;فروکشی ، فروکش
abazar;اباذر
abbacy;مقام رهبانیت
abbas;عباس
abbas abdi;عباس عبدی
abbas agha;عباسآقا
abbas ali;عباسعلی
abbatial;راهبی ، دیری ، خانقاهی
abbey;خانقاه
abbreviate;مخفف کردن ، اقتصار کردن ، مختصر کردن
abbreviation;علامات اختصاری ، علامت اقتصاری ، یجاز ، اختصار
abc;کتاب الفبا ، مبدا کار
abd hoseyn;عبدحسین
abdali;عبدعلی
abdelaziz hakim;عبداعزیز حکیم
abdi;عبدی
abdicate;تفویض کردن
abdication;کنارهگیری
abdol ali;عبدالعلی
abdol hoseyn;عبدالحسین
abdol jalil;عبدالجلیل
abdol karim;عبدالکریم
abdol majid;عبدالمجید
abdol malek;عبدالملک
abdol mohammad;عبدالمحمد
abdol reza;عبدالرضا
abdol salam;عبدالسلام
abdol vahed;عبدالواحد
abdolamir;عبدالامیر
abdolhamid;عبدالحمید
abdolhasan;عبدالحسن
abdolkhalegh;عبدالخالق
abdollah;عبدالله
abdollah gol;عبدالله گل
abdolmalek;عبدالملک
abdolmehdi;عبدالمهدی
abdolrahim;عبدالرحیم
abdolrahman;عبدالرحمان
abdolrasul;عبدالرسول
abdomen;بطن ، شکم
abdominal;وریدهی شکمی ، بطنی ، ماهیان بطنی ، شکمی
abdominous;شکم گنده
abduct;ربودن
abducted;ربودهشده
abductor;آدمدزد ، آدمربا ، آدمربا ، آدمدزد
abdul ali;عبدالعلی
abdul azimi;عبدالعظیمی
abdul ghani;عبدالغنی
abdul rashid;عبد الرشید
abdullah;عبدالله
abecedarian;ابجدآموز ، ابجدخوان
abel;هابیل
aberration;انحراف ، گمراهی
abeyance;بی تکلیفی
abeyant;بی تکلیف
abiding;وفا کننده
ability;وسع ، تمکن ، قابلیت ، استطاعت ، توانیی ، توان
abject;خوار و زار
abjuration;ارتداد ، عهد شکنی ، سوگند شکنی ، نقض عهد
abjure;رافضی شدن
ablactation;شیرواگیران
ablative;ازی ، ازی ، مفعول منه ، صیغه آلت ، مفعول عنه
ablaze;افروخته
able;قادر ، لیق بودن
able-minded;باکله
abloom;شکوفا ، پر شکوفه
ablution;غسل ، آبدست ، وضو
ablution before prayer;دست نماز
ablution with earth;تیمم
abnegate;بخود حرام کردن
abnegation;کف نفس
abnegator;منکر ، منکر
abnormal;غیر عادی
abnormalcy;نا هنجاری
abnormality;نابههنجاری
abode;بودباش
abolfath;ابوالفتح
abolfazl;ابوالفضل
abolghasem;ابوالقاسم
abolhasan;ابوالحسن
abolish;اازمیان بردن ، نسخ کردن ، منسوخ کردن
abolished;موقوف ، منسوخ
abolished customs;رسوم مسوخه
abolition;نسخ ، الغا مجازات ، برانداختگی
abominable;مکروه
abominate;مکروه دانستن
abomination;عمل شنیع
abonne;وجهاشتراک
aboriginal;سکنه اولیه
aborigine;گیاه بومی
abort;نارس ماندن ، سقط کردن ، ریشه نکردن ، عقیم ماندن
aborted;ساقط
abortifacient;سقط جنینی ، بچهانداز
abortion;عدم تکامل ، سقط ، سقط جنین ، بچهاندازی ، سقطجنین ، کورتاژ
abortion causing;بچهانداز
abortive;عقیم
abound;بوفور یافت شدن ، وفور یافتن ، وفور داشتن ، وفور پیدا کردن ، زیاد بودن
about;حدود ، به حدود ، در باره ، راجعبه ، پیرامون ، در حدود ، در شرف ، در ب^ره ، در مورد
about face;جهت دیگر
about this;در ین باره
about to die;در دم مرگ
about to give birth;زائو
about to start;راهی
above;بالی سر ، نام برده ، مکوردرفوق ، واقع دربالا ، مافوق ، از فراز ، در بالی ، بالی ، بر روی
abracadabra;سخن نامفهوم
