کمی;a few ، a little ، few ، quantitative ، scarcity
یک دنیا;a great deal of
یک مشت;a handful
آلاگارسن;a la garconne
اندکیی;a little
اندکی;a little ، a little ، a while
کمکی;a little ، aid ، auxiliary
اندکی بعد;a little while later
بمقدار زیاد;a lot ، all out ، as long as ، overmuch
کلی;a lot ، considerable ، general
مقدار زیادی;a lot of
بسیاری;a lot of ، majority ، many ، many
قشری از;a section of
چندی قبل;a while ago
مدتی بعد;a while later
میلادی;a.d.
عبا;aba ، cloak
چرکه;abacus
چتکه;abacus
آبادان;abadan ، flourishing
آبان;aban
رهاساختن;abandon ، leave ، release
دست کشیدن;abandon ، stop
دل کندن;abandon
ترککردن;abandon
رها کردن;abandon ، drop ، release
صرفنظر کردن;abandon ، give up
واکهداردن;abandon ، transfer
متروکه;abandoned ، abandoned place
متروک;abandoned ، isolated
ترک;abandonment ، crack ، giving up ، turk ، turkish
رهاسازی;abandonment ، release
صرف نظر;abandonment ، apart from
دلکندن;abandonment
متارکه;abandonment ، divorce ، quit ، separation
اباسلط;abasalt
تحقیر نمودن;abase ، belittle
کمارزش کردن;abase
فروکشی;abatement ، subsided
فروکش;abatement ، reduction ، sinking ، subsiding
اباذر;abazar
مقام رهبانیت;abbacy
عباس;abbas
عباس عبدی;abbas abdi
عباسآقا;abbas agha
عباسعلی;abbas ali
راهبی;abbatial
دیری;abbatial
خانقاهی;abbatial
خانقاه;abbey ، convent ، monastery
مخفف کردن;abbreviate
اقتصار کردن;abbreviate
مختصر کردن;abbreviate
علامات اختصاری;abbreviation ، symbol
علامت اقتصاری;abbreviation
یجاز;abbreviation
اختصار;abbreviation ، brevity ، summarization
کتاب الفبا;abc
مبدا کار;abc
عبدحسین;abd hoseyn
عبدعلی;abdali
عبداعزیز حکیم;abdelaziz hakim
عبدی;abdi
تفویض کردن;abdicate ، cede ، devolve
کنارهگیری;abdication ، resignation ، retirement ، withdrawal
عبدالعلی;abdol ali ، abdul ali
عبدالحسین;abdol hoseyn
عبدالجلیل;abdol jalil
عبدالکریم;abdol karim
عبدالمجید;abdol majid
عبدالملک;abdol malek ، abdolmalek
عبدالمحمد;abdol mohammad
عبدالرضا;abdol reza
عبدالسلام;abdol salam
عبدالواحد;abdol vahed
عبدالامیر;abdolamir
عبدالحمید;abdolhamid
عبدالحسن;abdolhasan
عبدالخالق;abdolkhalegh
عبدالله;abdollah ، abdullah
عبدالله گل;abdollah gol
عبدالمهدی;abdolmehdi
عبدالرحیم;abdolrahim
عبدالرحمان;abdolrahman
عبدالرسول;abdolrasul
بطن;abdomen ، belly ، ventricle
شکم;abdomen ، belly ، stomach
وریدهی شکمی;abdominal
بطنی;abdominal ، ventricular
ماهیان بطنی;abdominal
شکمی;abdominal ، gasrtal ، ventral
شکم گنده;abdominous ، stomachy
ربودن;abduct ، kidnap ، steal ، stele
ربودهشده;abducted ، stolen
آدمدزد;abductor ، abductor
آدمربا;abductor ، abductor
عبدالعظیمی;abdul azimi
عبدالغنی;abdul ghani
عبد الرشید;abdul rashid
ابجدآموز;abecedarian
ابجدخوان;abecedarian
هابیل;abel
انحراف;aberration ، declination ، detour
گمراهی;aberration
بی تکلیفی;abeyance ، indecision ، suspension
بی تکلیف;abeyant ، undecided
وفا کننده;abiding
وسع;ability
تمکن;ability ، power
قابلیت;ability
استطاعت;ability
توانیی;ability
توان;ability ، power ، strength
خوار و زار;abject
ارتداد;abjuration ، apostasy ، defection ، heresy
عهد شکنی;abjuration
سوگند شکنی;abjuration ، perjury ، perjury
نقض عهد;abjuration ، perfidy
رافضی شدن;abjure
شیرواگیران;ablactation
ازی;ablative ، ablative
مفعول منه;ablative
صیغه آلت;ablative
مفعول عنه;ablative
افروخته;ablaze ، burning
قادر;able ، ghader ، powerful
لیق بودن;able
باکله;able-minded ، headfirst ، intelligent
شکوفا;abloom
پر شکوفه;abloom
غسل;ablution ، baptism ، washing
آبدست;ablution
وضو;ablution
دست نماز;ablution before prayer
تیمم;ablution with earth
بخود حرام کردن;abnegate
کف نفس;abnegation ، ascesis ، askesis ، self abasement ، self command ، self control ، self sufficiency
منکر;abnegator ، abnegator ، denied ، denied ، denier ، denier ، prohibited ، prohibited ، unlowful ، unlowful
غیر عادی;abnormal ، creepy ، irregular ، prodigious ، queer ، unco ، uncommon ، unwonted ، utter
نا هنجاری;abnormalcy
نابههنجاری;abnormality
بودباش;abode ، residence
ابوالفتح;abolfath
ابوالفضل;abolfazl
ابوالقاسم;abolghasem
ابوالحسن;abolhasan
اازمیان بردن;abolish
نسخ کردن;abolish ، cancel
منسوخ کردن;abolish
موقوف;abolished ، cancelled ، dependent ، suspended
منسوخ;abolished
رسوم مسوخه;abolished customs
نسخ;abolition ، annulment ، copies ، prescriptions
الغا مجازات;abolition
برانداختگی;abolition
مکروه;abominable ، disapproved ، hated
مکروه دانستن;abominate
عمل شنیع;abomination
وجهاشتراک;abonne ، subscription rights
سکنه اولیه;aboriginal
گیاه بومی;aborigine
نارس ماندن;abort
سقط کردن;abort
ریشه نکردن;abort
عقیم ماندن;abort
ساقط;aborted ، fallen ، lapsed
سقط جنینی;abortifacient
بچهانداز;abortifacient ، abortion causing
عدم تکامل;abortion
سقط;abortion ، rubble
سقط جنین;abortion
بچهاندازی;abortion
سقطجنین;abortion
کورتاژ;abortion
عقیم;abortive ، barren ، unproductive
بوفور یافت شدن;abound
وفور یافتن;abound
وفور داشتن;abound
وفور پیدا کردن;abound
زیاد بودن;abound
حدود;about ، boundaries ، extent ، limits
به حدود;about
در باره;about
راجعبه;about ، concerning ، in the connection with
پیرامون;about ، around ، regarding
در حدود;about
در شرف;about ، on the point of
در ب^ره;about ، regarding
در مورد;about ، regarding
جهت دیگر;about face
در ین باره;about this
در دم مرگ;about to die
زائو;about to give birth
راهی;about to start ، traveling
بالی سر;above
نام برده;above
مکوردرفوق;above
واقع دربالا;above
مافوق;above ، superior ، superior
از فراز;above
در بالی;above
بالی;above
بر روی;above ، on
سخن نامفهوم;abracadabra ، galimatias ، gobbledygook
